variables,expected_output,metadata
"{""input"": ""Customer wants to recycle/upcycle their Cyclone Rake""}","When you're ready to part ways with your Cyclone Rake, there are several environmentally responsible options to consider. We appreciate your commitment to reducing waste and making sure your equipment finds new life or is properly recycled.

If your Cyclone Rake is still in good working condition, selling it is a great option:

1. Our Facebook Community Page is an excellent marketplace with members who understand the value of Cyclone Rake products
2. Other popular platforms include eBay, Craigslist, and Facebook Marketplace
3. Used Cyclone Rakes typically have a robust resale market due to their durability and quality
4. We can provide you with your original sales order if needed for your listing or to show potential buyers
5. We're happy to provide you with digital copies of the manual and parts list to help with your sale listing
6. These documents can help potential buyers understand the features and maintenance requirements of your Cyclone Rake

Please be aware that the Cyclone Rake warranty is not transferable to the new owner. If you're considering selling, you should inform potential buyers about this policy. Please note these policies regarding used Cyclone Rake equipment:

1. We do not buy back or purchase used Cyclone Rakes
2. We cannot provide recommendations for resale pricing","{""id"": ""Q - 227""}"
"{""input"": ""What is the part number for replacement collector bag for the 109 - Commander Commander model?""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

For your 109 – Commander model, the correct replacement collector bag is:

Part #03-03-308 – Commander Collector Bag (Velcro style)

You can view and order the replacement bag right here:
Commander Collector Bag – Velcro

Let me know if you need help with installation or anything else!","{""id"": ""Q - 131""}"
"{""input"": ""Can I buy individual parts if I don""t own a Cyclone Rake?""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

While you’re welcome to browse and purchase parts from our website, please note that our components are specifically designed for use with the Cyclone Rake system. Because of that, we can’t guarantee how well they’ll work with other lawn and leaf vacuums, and we’re not able to advise on compatibility for non-Cyclone Rake setups.

That said, here are a few parts that might still be useful:
Deck hoses (7"", 8"", or 10"") – These are heavy-duty and could potentially work with other machines

Mower deck adapters – These may fit your setup depending on the mower deck design

Feel free to explore the Parts section on our website, and if you do end up with a Cyclone Rake in the future, we’ll be glad to help you get it fully equipped!","{""id"": ""Q - 198""}"
"{""input"": ""Can I get a Honda Engine?""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

At this time, we do not offer a Honda engine option with Cyclone Rake units.

We exclusively use Briggs & Stratton Vanguard engines because they’re engineered to perform in tough conditions and deliver the durability our customers expect. Here’s why we’ve chosen them:

Proven reliability across various types of power equipment

Excellent performance under demanding yard cleanup jobs

Industry-leading support network with over 25,000 authorized service centers worldwide

We truly believe these engines give our customers the best mix of performance, support, and long-term value.

If you have any other questions or need help with engine options, I’m here to help!","{""id"": ""Q - 206""}"
"{""input"": ""Can I buy a second top brace for my Cyclone Rake?""}","The Cyclone Rake features a single top brace bar that serves to maintain separation between the rear end of the side tubes, making the dumping process easier. However, due to the wider dimensions of the collector bags in models like the Commander, Commercial Pro, XL, and Z-10, it is not possible to incorporate a second top brace bar for the front. Instead, the holes located at the front of the side tubes are specifically designed for attaching the optional Roof Rack Carrier accessory.

The Roof Rack Carrier is an accessory that can be added to the Cyclone Rake, providing users with a convenient way to secure additional equipment or items on top of their Collector Bag. It consists of two heavy-duty steel struts and quick-release knobs, ensuring easy attachment to the Collector Bag without the need for tools.","{""id"": ""Q - 197""}"
"{""input"": ""Can I Attach My Hitch 16"" Above Ground? What\""s the ideal height for the hitch?""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

If your hitch is mounted 16 inches above the ground, that’s outside the recommended range for optimal Cyclone Rake performance.

Ideal Hitch Height:
10 to 14 inches from the ground

Centered between your mower’s rear wheels

Level to the ground — avoid tilting the hitch up or down

Mounting the hitch higher than 14 inches can cause issues with balance, hose alignment, and maneuverability. For best results, we recommend adjusting the hitch or adding a mounting plate to get it within the ideal range.

Let me know if you’d like help troubleshooting your setup—I’m happy to assist!","{""id"": ""Q - 200""}"
"{""input"": ""What is the part number for replacement impeller for a                    101 - Standard Complete Platinum with an Intek engine?""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

For your Cyclone Rake 101 - Standard Complete Platinum model with an Intek engine, you have two replacement impeller options:

Part #02-03-017 – 4-Blade Yellow Impeller with Hardware Kit
(Original replacement impeller designed specifically for your model.)

Part #02-03-020 – 5-Blade Orange Impeller with Hardware Kit
(Upgraded option providing approximately 25% more suction compared to the original.)

Let me know if you need anything else!","{""id"": ""Q - 160""}"
"{""input"": ""What is the part number for replacement Engine for a                    102 - Commercial?""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

For your Cyclone Rake 102 - Commercial, you have two suitable replacement engine options:

Part #01-04-158 – Briggs & Stratton XR950 PRO Engine Upgrade Kit
(Reliable upgrade option with excellent overall performance.)

Part #01-04-306 – Briggs & Stratton 6.5HP Vanguard Cyclonic Upgrade Kit
(Enhanced upgrade featuring improved air filtration and durability.)

If you have any additional questions or need help choosing, please let me know!","{""id"": ""Q - 161""}"
"{""input"": ""What is the dimensions of wheel bearings (01-01-334)?""}","Thanks for reaching out with your question! I'm happy to help you with this.

The wheel bearing dimensions for the Cyclone Rake are as follows:

Inner Diameter (ID): 30mm

Outer Diameter (OD): 35mm

Width (Thickness): 19mm

Overall Dimensions: 30mm x 35mm x 19mm (metric)

If you're replacing a bearing or just checking for compatibility, these measurements should help you confirm a proper fit.","{""id"": ""Q - 231""}"
"{""input"": ""What is the part number for replacement Impeller for a          110 - Commercial PRO 6.5 HP Vanguard Phase ll engine?""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

The correct replacement impeller for your Cyclone Rake 110 - Commercial PRO with the 6.5 HP Vanguard Phase II engine is:

Part #02-03-020 – 5-Blade Orange Impeller with Hardware Kit

Please let me know if there's anything else I can assist you with!","{""id"": ""Q - 152""}"
"{""input"": ""Can I Install An Hour Meter On My Engine?""}","Thanks for reaching out with your question! I'm happy to help you with this.

While it’s a great idea to track your engine run time, we don’t offer hour meters for sale. After checking with our technician, we recommend reaching out directly to Briggs & Stratton for guidance on hour meter compatibility and installation for your engine model.

You can use this link to find a Briggs & Stratton dealer near you who can assist:
Briggs & Stratton Dealer Locator

Let me know if you have any other questions about maintaining your Cyclone Rake—we’re always here to help.","{""id"": ""Q - 208""}"
"{""input"": ""What is the part number for replacement Impeller for a          102 - Commercial (Intek)?""}","For your 102 – Commercial model with an Intek engine, you have two compatible replacement impeller options:

You have two compatible impeller options:
Part #02-03-017 – 4-Blade Yellow Impeller with Hardware Kit
This is the original replacement for your model.

Part #02-03-020 – 5-Blade Orange Impeller with Hardware Kit
This upgraded impeller delivers 25% more suction and fits your unit as well.

Let me know if you’d like help choosing between the two or placing an order!","{""id"": ""Q - 144""}"
"{""input"": ""What is the part number for replacement Engine for a                    Z-10?""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

For your Cyclone Rake Z-10, here are the correct replacement engine options:

Part #06-02-301 – Briggs & Stratton 10HP Vanguard Phase II (Pull-Start)

Part #06-02-301E – Briggs & Stratton 10HP Vanguard Phase II (Electric-Start)

Both engines are built for powerful performance and long-term reliability. Let me know if you’d like help placing an order or choosing between the two options!","{""id"": ""Q - 162""}"
"{""input"": ""can I stop the electric start engine with the starter key?""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

No, the starter key does not stop the electric start engine. It’s only used to crank the engine during startup and does not control the ignition.

🔑 Here's how the switch works:
Position 1: Normal (key at rest)

Position 2: Start (spring-loaded—only used while cranking)

✅ To stop the engine:
Idle down for 15–30 seconds using the throttle lever

Move the red fuel shutoff lever to the OFF position

Remove the key

Keep in mind, the key cannot be turned to the left like a car ignition. It doesn’t cut power to the engine.","{""id"": ""Q - 199""}"
"{""input"": ""What is the part number for replacement collector bag for the XL model?""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

Since you own a Cyclone Rake XL, the correct part number for the replacement collector bag is 05-03-308. This is the full collector bag assembly designed specifically for the XL model and includes the Velcro-style rear panel.

You can view and order the part here:
Commercial PRO, XL, and Z-10 Collector Bag – Velcro

Let me know if you need help with installation or anything else!","{""id"": ""Q - 129""}"
"{""input"": ""What is the part number for replacement Impeller for a          106 - Commander PRO JetPath Commander Pro (Intek)?""}","For your Cyclone Rake 106 – Commander PRO JetPath model with the Briggs & Stratton Intek 6HP engine, you have two compatible impeller options:

Part #02-03-017 – 4-blade yellow impeller with hardware kit 

Part #02-03-020 – 5-blade orange impeller with hardware kit 

Both will work with your unit, so it depends on whether you’d prefer the standard replacement or the upgraded performance.","{""id"": ""Q - 145""}"
"{""input"": ""The deck hose is short by a few inches/pulled out of the collar""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

If your deck hose feels too short or is pulling out of the collar, here are a few easy troubleshooting steps you can try:

✅ Troubleshooting a Short Deck Hose:
Adjust the insertion depth: The hose doesn’t need to be fully threaded into the collar. Try pulling it out slightly—this can give you a few extra inches.

Modify the hitch position: Loosen the hitch fork assembly and move the Cyclone Rake slightly closer to your mower. This small adjustment can make a big difference.

Let the hose expand: New hoses are tightly packed for shipping and may need a bit of time (and warmth) to fully stretch out. Laying the hose out in a warm spot can help it reach its full length.

Still too short?
No problem—just send us a few photos of your setup, and we’ll be happy to send you a replacement hose that fits properly.

Let me know how it goes or if you’d like to start a replacement request!","{""id"": ""Q - 188""}"
"{""input"": ""What is the part number for replacement Engine for a                    101 - Standard Complete Platinum Standard/Complete/Platinum?""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

If you need a replacement engine for your 101 – Standard Complete Platinum Cyclone Rake with a Tecumseh 5HP engine, there are two excellent upgrade options, depending on what you're looking for in terms of performance and features:

✅ Option 1: Briggs & Stratton XR950PRO Upgrade Kit

Part #: 01-04-158

A powerful, professional-grade engine designed for durability and consistent performance

Comes with a 2-year warranty

View the XR950PRO Upgrade Kit

✅ Option 2: 6.5HP Vanguard Cyclonic Upgrade Kit

Part #: 01-04-306

Adds premium features like:

Transport Guard to prevent fuel and oil mixing during transport

High-capacity air cleaner for longer maintenance intervals

Lower-tone muffler for quieter operation

Commercial-style carburetor

Backed by a 3-year commercial warranty

View the Vanguard Cyclonic Engine Upgrade Kit

Either option will be a solid replacement!

And don’t forget—we recommend tuning up your engine after the first 5 hours of use, and then once a year. You can find the right Engine Maintenance Kit for either of these engines to help extend their life and performance.

Let me know if you'd like help choosing between the two or placing an order!","{""id"": ""Q - 157""}"
"{""input"": ""Are the wheels rubber or pneumatic?""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

The wheels on the Cyclone Rake are pneumatic and made of real rubber, not plastic. They’re built for durability, smooth performance, and lawn-friendly operation.

Here’s what makes them stand out:
Pneumatic (air-filled) tires for better traction and a smoother ride

Premium rubber construction – not plastic or composite

Durable metal hubs for long-lasting strength

Manufacturer name stamped on each tire – no generic parts

Designed to protect your lawn while offering stable performance across various terrain

Let me know if you have any more questions—I’m happy to help!","{""id"": ""Q - 193""}"
"{""input"": ""Do we have a hitch to attach to a John Deere Click-n-go hitch setup?""}","Thanks for reaching out with your question! I'm happy to help you with this.

We don’t offer a hitch that connects directly to the John Deere Click-n-Go bracket system, but that doesn’t necessarily mean you're out of options. Depending on how the back of your mower is set up, we may still have a compatible hitch for your John Deere tractor.

Here’s what we’ll need to check compatibility:
Your John Deere model number

Your mower deck size

With that info, I can look up the right hitch option for your setup.

Let me know when you have those details handy—I’ll be glad to help get you squared away!","{""id"": ""Q - 235""}"
"{""input"": ""What is the tongue weight of the Cyclone Rake XL?""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

The tongue weight of the Cyclone Rake XL is approximately 120 pounds.

Here's a quick breakdown of the weights for your Cyclone Rake XL:

Engine/Blower Unit: 110 pounds

Tongue Weight: ~120 pounds

Total Assembled Weight: 250 pounds

Let me know if you need anything else!","{""id"": ""Q - 183""}"
"{""input"": ""Can the Cyclone Rake go on hills?""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

Yes, your Cyclone Rake can be used on hills, but there are a few important safety and performance guidelines to keep in mind to protect both your equipment and yourself:

✅ Maximum Slope Guidelines
The Cyclone Rake is safe to use on slopes up to 20 degrees

Slopes steeper than that can cause:

Hitch pin binding

Excess stress on your mower and rake

Potential safety hazards

⛽ Engine Performance on Hills
If your engine stalls when going up or down hills, it’s likely a fuel delivery issue:

The fuel pickup hose is in the corner of the tank, so steep angles and low fuel can cause the engine to starve

Keep your fuel tank more than half full to prevent stalling

Tackle sloped areas early on, when your tank is full

⚠️ Safety Tips for Sloped Terrain
Always drive straight up or down the slope — never across

Avoid wet grass for better traction

Monitor for signs of stress or binding on your equipment and stop if anything feels off

The engine uses splash lubrication, so avoid long periods on steep slopes to prevent overheating

🛠 Best Practices:
Work in dry conditions when possible

Plan your mowing path to minimize time spent on hills

Start with a full tank

For steep yards, work downhill first, while the tank is fullest

Following these guidelines will help you get great performance on hilly terrain while keeping everything running safely and smoothly.

Let me know if you need anything else!","{""id"": ""Q - 187""}"
"{""input"": ""Can I use my Cyclone Rake in the rain?""}","We would not recommend using your Cyclone Rake in the rain, or leaving it exposed to any kind of precipitation. There are electrical connections maintaining the spark within your Cyclone Rake engine, as it is an internal combustion engine. Water can affect those connections negatively. Additionally, water entering the inside of the engine can damage parts when running.

All that is to say - it's not ideal to run the engine in the rain, or to leave the engine uncovered if stored outside. Keep your Cyclone Rake in a dry sheltered place. Be sure to get out any organic debris from the bag before putting it away for storage. Acorns, nuts, and other debris will attract mice and rodents. Mothballs will help keep them away!

Lastly, always add fuel stabilizer to keep the fuel fresh. There is no need to drain gasoline from the engine if a fuel stabilizer is added. Fuel can become stale when stored for over 30 days. Adding fuel stabilizer will prevent gum and varnish buildup. Keep the gas tank 95% full to avoid condensation buildup in the tank during storage. Run the engine for 5 minutes after adding the stabilizer to treat the entire fuel system. This prepares the engine and gasoline for up to 24 months of storage. While not specifically required for daily use, Briggs & Stratton does recommend the use of fuel treatment and stabilizer as a regular part of the refueling process.","{""id"": ""Q - 216""}"
"{""input"": ""Do we have Tecumseh engine parts?""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

Unfortunately, we no longer carry replacement parts for Tecumseh engines, as Tecumseh closed its operations in 2009 and we discontinued using their engines some time ago. However, I can still point you in the right direction depending on what you need:

🔧 Finding Parts for Older Tecumseh Engines
The Cyclone Rake originally used:

Model #OHH50 (5.0HP engine)

Model #OHH60 (6.0HP engine)

For parts, we recommend:

Visiting Jack's Small Engines – they specialize in older mower and tractor engine parts

Checking with a local small engine repair shop

🛠️ Common Tecumseh Issue – Slipping Throttle
If your throttle slips down during use, here’s a quick fix:

Remove the air filter to access the carburetor area

Find the small brass nut or screw next to the throttle

Tighten it gently but firmly – this presses a plate against the throttle slider and helps it stay in place

🔄 Engine Replacement Options
If you're looking to replace your Tecumseh engine, we offer two great upgrade options that work with older Cyclone Rake models:

XR950 PRO Engine Upgrade Kit

6.5HP Cyclonic Vanguard Engine Upgrade Kit

Both offer improved performance, easier starting, and better long-term reliability.

Let me know if you'd like help choosing the best replacement for your setup!","{""id"": ""Q - 186""}"
"{""input"": ""What is the tongue weight of the Cyclone Rake Classic?""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

The tongue weight of the Cyclone Rake Classic is approximately 85 - 90 pounds.

Here’s a quick summary of the weights:

Engine/Blower Unit: 85 pounds

Tongue Weight (Classic): 85 - 90 pounds

Total Assembled Weight: 200 pounds

If you have any more questions, please feel free to ask!","{""id"": ""Q - 180""}"
"{""input"": ""What is the part number for replacement Impeller for a          110 - Commercial PRO XR950 Pro?""}","Thanks for reaching out with your question! I’m happy to help you with this.

The replacement impeller for your 110 – Commercial PRO with XR950 Pro engine is:
Part #02-03-021 – 5-Blade Orange Impeller Replacement Kit – XR950 and 6.5 HP Vanguard Cyclonic

This is the correct impeller for your model and includes all the necessary hardware for installation.

Let me know if you need help placing the order or installing the new part!","{""id"": ""Q - 149""}"
"{""input"": ""What is the part number for replacement Engine for a                    105 - Classic with 6.5 Vanguard Phase 1 engine?""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

For your Cyclone Rake 105 - Classic, originally equipped with the 6.5HP Vanguard Phase 1 engine, you have two replacement engine options:

Part #01-04-158 – Briggs & Stratton XR950 PRO Engine Upgrade Kit
(A reliable upgrade providing excellent performance.)

Part #01-04-306 – Briggs & Stratton 6.5HP Vanguard Cyclonic Upgrade Kit
(Features improved air filtration and enhanced durability.)

To help you choose the right option for your needs, we've put together a detailed comparison here:

XR950 PRO vs 6.5HP Cyclonic Vanguard Engine Comparison

If you need anything else, please let me know!","{""id"": ""Q - 158""}"
"{""input"": ""What is the part number for replacement Impeller for a          Classic Vanguard Phase 1 ?""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

For your Cyclone Rake Classic with a 6.5 HP Vanguard Phase 1 engine, the correct replacement impeller options are:

Part #02-03-017 – 4-Blade Yellow Impeller with Hardware Kit
(This is the original impeller replacement for your unit.)

Part #02-03-020 – 5-Blade Orange Impeller with Hardware Kit
(This is an upgraded option offering around 25% more suction compared to the original.)

Feel free to reach out if you have any other questions!","{""id"": ""Q - 150""}"
"{""input"": ""What is the Diameter of hole in the clevis pin and the cotter pin(Bridge pin)?""}","Thanks for reaching out with your question! I'm happy to help you with this.

Here are the dimensions you're looking for:

Clevis Pin Hole Diameter: 0.75 mm (0.0295 in)

Cotter Pin Diameter: 2.2 mm (0.0870 in)

These sizes are standard for securing parts on your Cyclone Rake, and they’re matched to ensure a snug and secure fit.

Let me know if you're replacing parts or need help finding the correct hardware—I'm glad to assist!","{""id"": ""Q - 229""}"
"{""input"": ""Can the Cyclone Rake connect to a Power Take Off Feature? PTO""}","Thanks for reaching out with your question! I'm happy to help you with this.

The Cyclone Rake does not connect to a tractor’s PTO (Power Take-Off) system. Instead, it’s designed with its own Briggs & Stratton engine, which powers the vacuum independently of your tractor.

Here’s why that’s a benefit:
You don’t need to rely on your tractor’s PTO or worry about compatibility

The Cyclone Rake engine provides consistent, reliable performance all on its own

Your PTO remains free for other attachments when needed

You can find more helpful details on tractor and mower compatibility here:
Cyclone Rake Mower Compatibility Guide

Let me know your tractor’s make and model if you’d like help confirming the best setup!","{""id"": ""Q - 223""}"
"{""input"": ""I bought a used Cyclone Rake. Can you tell me which model I have?""}","Thank you so much for reaching out with your question! I’m happy to help you identify your Cyclone Rake model.

Congrats on your pre-owned Cyclone Rake!
We can definitely help you figure out which model you have. There are a couple of ways to do this:

Option 1: Previous Owner Lookup
If you know the name of the original owner, we can check our records (if they purchased directly from us). That’s the fastest way to confirm the exact model and configuration.

Option 2: Visual & Measurement Clues
If you don’t have that info, no problem! Please take a look at these features and send us your answers:

Collector Bag Color: Is it green or black?

Collector Bag Shape: Is it wider in the back or uniform all around?

Deck Hose Size: What’s the inside diameter of the hose?

7-inch

8-inch

10-inch

Engine Info: Check for a label on the engine — what’s the horsepower and model number?

Photos Help!
If you can, send us a few clear photos of the:

Engine

Collector bag

Blower housing

Chassis/frame area

With this info, we’ll be able to identify your model and guide you on compatible parts or upgrades.

Looking forward to helping you get the most out of your Cyclone Rake!","{""id"": ""Q - 192""}"
"{""input"": ""What is the part number for replacement Impeller for a          109 - Commander 6.5 Vanguard Phse 1""}","Thanks for reaching out with your question! I looked into the replacement parts for your 109 – Commander with the 6.5 HP Vanguard Phase 1 engine, and here are your compatible impeller options:

Available Impeller Options:
Part #02-03-017 – 4-Blade Yellow Impeller with Hardware Kit
This is the original replacement impeller designed for your unit.

Part #02-03-020 – 5-Blade Orange Impeller with Hardware Kit
This is an upgraded option that delivers around 25% more suction than the original.

Either one will fit your Commander model, depending on whether you prefer the standard performance or an extra boost in suction.

Let me know if you’d like help placing an order or if you have any other questions!","{""id"": ""Q - 148""}"
"{""input"": ""What is the tongue weight of the Cyclone Rake Z10?""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

The tongue weight of the Cyclone Rake Z10 is approximately 120 pounds.

Here’s a quick breakdown of weights for your reference:

Engine/Blower Unit: 110 pounds

Tongue Weight (Z10): ~120 pounds

Total Assembled Weight: 250 pounds

If you need anything else, feel free to ask!","{""id"": ""Q - 184""}"
"{""input"": ""What is the part number for replacement collector bag for the 102 - Commercial Commercial model?""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

The correct replacement collector bag for the Cyclone Rake Commercial model (unit 102) is part number 04-03-303. 

If you need any additional parts, feel free to let me know—I’ll be happy to assist.","{""id"": ""Q - 135""}"
"{""input"": ""What is the part number for replacement collector bag for the 104 - Commercial PRO Commercial Pro model?""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

The correct replacement collector bag for the Cyclone Rake Commercial PRO (model 104) is part number 05-03-308. 

If you’re also looking for other replacement parts, just let me know and I’d be glad to help with that too.","{""id"": ""Q - 136""}"
"{""input"": ""What is the part number for Replacement Chassis for  103 - PRO 7"" Pro?""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

The correct replacement chassis for your Cyclone Rake 103 - PRO 7"" Pro model is:

Part #01-01-600A – Chassis Unit Complete (31-3/4 inches wide)

If there's anything else you need, please don't hesitate to ask!","{""id"": ""Q - 173""}"
"{""input"": ""What is the part number for replacement collector bag for the 106 - Commander PRO JetPath Commander Pro model?""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

For your 106 – Commander PRO model with the 8"" JetPath system, the correct replacement collector bag is:

Part #03-03-308 – Commander Collector Bag (Velcro style)

You can view and order the replacement bag here:
Commander Collector Bag – Velcro

Let me know if you need help installing it or have any other questions!","{""id"": ""Q - 134""}"
"{""input"": ""Can I buy one half of the roof rack carrier?""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

If you need to replace one side or strut of the Roof Rack Carrier, you’ll need to purchase the entire Roof Rack Carrier assembly, as we don’t offer the individual struts separately.

Let me know if you'd like help placing an order or if you have any other questions—I’m here to help!","{""id"": ""Q - 203""}"
"{""input"": ""Can I buy the liner separate and install it myself?""}","Among the parts we sell, the blower housing liner is the only one not sold separately and we want to share with you why.

With 25 years of experience selling and supporting Cyclone Rakes, we have a deep understanding of its operation and how parts wear.

As materials move through the blower housing, the liner protects the inside of the housing from the abrasive conditions. If the liner wears through, it exposes the housing to the abrasion, resulting in a failure. Furthermore, we have found that when the liner fails, the housing can also experience excessive wear.

The reason for not selling it separately is that an improperly installed liner could cause other problems and pose safety concerns. A properly seated liner is critical since the impeller must never come in contact with the liner. If this occurs, it can create chips in the impeller and lead to an “out-of-round situation”, which can damage both the impeller and the engine. As you can understand, a liner that has not been installed properly and comes loose during operation is also a safety hazard that we take very seriously.

We understand many of our customers are handy around the shop and take very good care of their tools. We're not here to tell you how to maintain your property and respect your decision to use and repair your tools as you see fit. However, we also want you to understand why we made this decision and why it is in place today.","{""id"": ""Q - 204""}"
"{""input"": ""What is the part number for replacement collector bag for the Z10 model?""}",Part #05-03-308,"{""id"": ""Q - 130""}"
"{""input"": ""What is the part number for a Latch Upgrade Kit on a Classic Collector Bag?""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

The correct replacement part number for the Latch Upgrade Kit for your Classic Collector Bag is:

Part #01-02-010 – Latch Upgrade Kit (for old-style Collector Bag with elastic collar)

If you have any additional questions or need further assistance, please let me know!","{""id"": ""Q - 172""}"
"{""input"": ""What is the part number for a Collector bag repair kit?""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

Since you own a 101-Stand Complete Platinum Cyclone Rake, the correct part number for the Collector Bag Repair Kit is 01-04-152. This kit includes everything you’ll need to patch small holes or tears in your collector bag—green fabric patch, patching tape, alcohol pads, and a tube of vinyl adhesive. It’s a great way to keep your equipment in top shape without needing a full replacement.

You can find the kit here:
Green Cloth Repair Kit – Complete

And here’s a helpful article that walks through the repair process:
Repairing Your Cyclone Rake Collector Bag

Let me know if there’s anything else I can do for you!","{""id"": ""Q - 128""}"
"{""input"": ""What is the part number for replacement Engine for a                    109 - Commander Commander?""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

For your Cyclone Rake 109 – Commander model, there are a few different engine replacement options depending on the engine currently installed on your unit.

If you're replacing a Tecumseh, Briggs & Stratton Intek™, or an older 6.5HP Vanguard (Phase I or II):
Part #01-04-158 – Briggs & Stratton XR950 PRO Engine Upgrade Kit

Part #01-04-306 – Briggs & Stratton 6.5HP Vanguard Cyclonic Upgrade Kit

These upgrade kits include all necessary components to convert your current setup to the latest engine design.

If you already have the XR950 PRO or 6.5HP Vanguard Cyclonic:
Part #04-02-302 – Briggs & Stratton XR950 PRO Replacement Kit

Part #01-04-307 – Briggs & Stratton 6.5HP Vanguard Cyclonic Replacement Kit

Let me know which engine you currently have, and I’d be glad to confirm the right kit for your setup.

You can find more info here:
Commander Replacement Parts","{""id"": ""Q - 163""}"
"{""input"": ""Can a fabric repair kit help repair the pocket for the side tube?""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

While the fabric repair kit is great for patching small tears on the collector bag, it’s not strong enough for repairing the side tube pocket, which handles a lot more stress and weight.

Here are your options for side tube pocket damage:
Try a DIY repair: Use heavy-duty fishing line or outdoor-grade thread to sew the tear closed. Reinforce the stitching well, since this part of the bag supports a lot of pressure.

Replace the collector bag: If sewing isn't practical or the damage is extensive, the best long-term solution is to replace the entire collector bag.

Let me know if you'd like help ordering a replacement or have any questions about the repair!","{""id"": ""Q - 194""}"
"{""input"": ""What is the part number for replacement Impeller for a          105 - Classic Classic (XR or Cyclonic Models)?""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

For your 105 – Classic model equipped with the XR950 PRO engine, you have two great options for a replacement impeller:

Part #02-03-018 – 4-Blade Yellow Impeller Replacement Kit
This is the standard replacement for the XR950 and 6.5HP Vanguard Cyclonic engines.

Part #02-03-021 – 5-Blade Orange Impeller Replacement Kit
This upgraded impeller gives you increased suction power and performance, ideal for heavier leaf loads or damp material.

Both kits include the hardware you need for installation. If you'd like to see how to replace the impeller, here’s a handy guide:
Replacing Your Cyclone Rake Impeller

You can also explore other replacement parts for your unit in the
Aftermarket Parts section of our website.

Let me know if you’d like help choosing the best option or placing an order!","{""id"": ""Q - 142""}"
"{""input"": ""What is the part number for Replacement Blower Unit for a Commercial PRO with a Cyclonic engine?""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

For your Cyclone Rake Commercial PRO model with a Cyclonic engine, the correct replacement blower unit options are:

Part #01-04-104 – Commercial PRO (Standard Liner, with 5-Blade Impeller)
(Complete blower kit including impeller, with standard liner.)

Part #01-04-107 – Commercial PRO JetPath (Blue Diamond Liner, with 5-Blade Impeller)
(Complete blower kit including impeller, with upgraded Blue Diamond liner for enhanced durability.)

If you prefer the blower replacement without an impeller, you have these options:

Part #01-03-103 – PRO (Standard Liner, No Impeller)

Part #01-03-106 – Commander PRO JetPath (Blue Diamond Liner, No Impeller)

Please let me know if you have any further questions or need additional assistance!","{""id"": ""Q - 153""}"
"{""input"": ""What is the part number for replacement Impeller for a          103 - PRO Pro 7"" (Not XR or Cyclonic)?""}","Thanks for reaching out with your question! I looked into this for your 103 – PRO with the standard 7"" JetPath, and here’s what you need to know.

You have two compatible impeller options:
Part #02-03-017 – 4-Blade Yellow Impeller with Hardware Kit
This is the original replacement for your model.
4-Blade Yellow Impeller – Tecumseh, Intek Phase 1 & 2, Vanguard

Part #02-03-020 – 5-Blade Orange Impeller with Hardware Kit
This upgraded impeller delivers 25% more suction and fits your unit as well.
5-Blade Orange Impeller – Intek Phase I & II, Vanguard

Let me know if you’d like help choosing between the two or placing an order!","{""id"": ""Q - 151""}"
"{""input"": ""Can Cyclone Rake be used to clean up stump chip debris?""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

The Cyclone Rake is not recommended for cleaning up stump chip debris. While it’s great for leaves, grass, and light yard waste, stump grinding chips are typically too heavy and dense for the system to handle effectively.

Here's why:
The extension hose can’t generate enough lift for heavy wood debris

Chips may clog the hose or strain the impeller and engine

It can lead to reduced performance or potential damage over time

For cleanup after stump grinding, we recommend using a shovel, rake, or front-end loader instead.

Let me know if you have any other questions—I’m here to help!","{""id"": ""Q - 195""}"
